"File","Line","Type","IconPath","IconState"
"code/modules/f13/wasteland_grid.dm","4190","/obj/structure/wasteland_grid/rock_r4","code/modules/f13/64x64_rock_sprites.dmi","R4"
"code/modules/f13/wasteland_grid.dm","4202","/obj/structure/wasteland_grid/rock_r5","code/modules/f13/64x64_rock_sprites.dmi","R5"
"code/modules/f13/wasteland_grid.dm","4214","/obj/structure/wasteland_grid/rock_r6","code/modules/f13/64x64_rock_sprites.dmi","R7"
"code/modules/f13/wasteland_grid.dm","4263","/obj/structure/wasteland_grid/power_armor_holder","code/modules/f13/64x64_sprites.dmi","PA_holder_empty"
"code/modules/f13/wasteland_grid.dm","4251","/obj/structure/wasteland_grid/server_deco","code/modules/f13/64x64_sprites.dmi","Server_deco"
"code/modules/f13/wasteland_grid.dm","5040","/obj/machinery/f13/grid_faction_district_console","code/modules/f13/terminals.dmi","terminal_vault"
"code/modules/f13/wasteland_grid.dm","4965","/obj/machinery/f13/grid_relay_console","code/modules/f13/terminals.dmi","terminal_vault"
"code/modules/f13/player_factions.dm","484","/obj/machinery/f13/player_faction_console","code/modules/f13/terminals.dmi","terminal_vault"
"code/modules/f13/wasteland_grid.dm","6043","/obj/machinery/f13/wasteland_grid_advisor_console","code/modules/f13/terminals.dmi","terminal_vault"
"code/modules/f13/wasteland_grid.dm","5279","/obj/machinery/f13/wasteland_grid_console","code/modules/f13/terminals.dmi","terminal_vault"
"code/modules/f13/wasteland_grid.dm","3594","/obj/machinery/grid/turbine_controller","code/modules/f13/terminals.dmi","terminal_vault"
"code/modules/f13/wasteland_grid.dm","6417","/obj/structure/f13/work_order_board","code/modules/f13/terminals.dmi","terminal_vault"
"code/modules/f13/wasteland_grid.dm","4891","/obj/structure/grid/district_controller","code/modules/f13/terminals.dmi","terminal_vault"
"code/modules/f13/wasteland_grid.dm","3809","/obj/structure/grid/power_relay","code/modules/f13/terminals.dmi","terminal_vault"
"code/modules/f13/player_factions.dm","755","/obj/structure/player_faction_district_node","code/modules/f13/terminals.dmi","terminal_vault"
"code/modules/f13/wasteland_grid.dm","3039","/obj/structure/f13/grid_radiation_source","fallout/eris/icons/128x128_reactor.dmi","Reactor_off"
"code/modules/f13/wasteland_grid.dm","5199","/obj/structure/grid/purge_valve","fallout/eris/icons/96x96.dmi","coolant valve"
"code/modules/f13/wasteland_grid.dm","3129","/obj/structure/grid/valve","fallout/eris/icons/96x96.dmi","coolant valve"
"code/modules/f13/wasteland_grid.dm","4226","/obj/structure/wasteland_grid/fev_pod","fallout/eris/icons/96x96.dmi","FEV_pod"
"code/modules/f13/wasteland_grid.dm","3345","/obj/structure/grid/filter_unit","fallout/eris/icons/96x96.dmi","Filter_unit"
"code/modules/f13/wasteland_grid.dm","3407","/obj/structure/grid/heat_exchanger","fallout/eris/icons/96x96.dmi","Heat_exchanger"
"code/modules/f13/wasteland_grid.dm","3175","/obj/machinery/grid/pump","fallout/eris/icons/96x96.dmi","Main_Primary_Pump"
"code/modules/f13/wasteland_grid.dm","3017","/obj/structure/wasteland_grid/coolant_pump","fallout/eris/icons/96x96.dmi","Primary_pump"
"code/modules/f13/wasteland_grid.dm","3276","/obj/structure/grid/relief_valve","fallout/eris/icons/96x96.dmi","Relief_valve"
"code/modules/f13/wasteland_grid.dm","3457","/obj/structure/grid/turbine_assembly","fallout/eris/icons/96x96.dmi","Turbine_main"
"code/modules/f13/wasteland_grid.dm","3946","/obj/structure/wasteland_grid/west_tek_floor_sign","fallout/eris/icons/96x96.dmi","West_tek_sign"
"code/modules/f13/wasteland_grid.dm","4849","/obj/structure/grid/breaker_cabinet","fallout/eris/icons/Reactor_32x32.dmi","Breaker_cabinet_closed"
"code/modules/f13/wasteland_grid.dm","4810","/obj/structure/grid/relay_breaker_box","fallout/eris/icons/Reactor_32x32.dmi","Breaker_cabinet_closed"
"code/modules/f13/wasteland_grid.dm","2860","/obj/structure/wasteland_grid/repair_point","fallout/eris/icons/Reactor_32x32.dmi","Breaker_cabinet_closed"
"code/modules/f13/wasteland_grid.dm","4325","/obj/structure/f13/invisible_blocker","icons/effects/effects.dmi","nothing"
"code/modules/f13/player_factions.dm","983","/obj/item/deployable_district_node","icons/obj/assemblies.dmi","dvd"
"code/modules/f13/player_factions.dm","707","/obj/item/deployable_faction_console","icons/obj/assemblies.dmi","dvd"
"code/modules/f13/player_factions.dm","1034","/obj/item/territory_claim_beacon","icons/obj/assemblies.dmi","dvd"
"code/modules/f13/player_factions.dm","270","/obj/item/faction_charter","icons/obj/bureaucracy.dmi","paper"
"code/modules/f13/wasteland_grid.dm","2728","/obj/item/f13/grid_coolant","icons/obj/machines/antimatter.dmi","box"
"code/modules/f13/faction_territory.dm","414","/obj/machinery/f13/faction_intel_tower","icons/obj/machines/antimatter.dmi","control_off"
"code/modules/f13/faction_territory.dm","7","/obj/machinery/f13/faction_capture_node","icons/obj/machines/antimatter.dmi","control_on"
"code/modules/f13/faction_territory.dm","346","/obj/machinery/f13/faction_water_purifier","icons/obj/machines/antimatter.dmi","control_on"
"code/modules/f13/faction_territory.dm","533","/obj/structure/f13/faction_district_buildable_marker","icons/obj/machines/antimatter.dmi","control_on"
"code/modules/f13/wasteland_grid.dm","2720","/obj/item/f13/grid_fuel","icons/obj/machines/antimatter.dmi","jar"
"code/modules/f13/wasteland_grid.dm","3761","/obj/structure/grid/sensor_panel","icons/obj/machines/telecomms.dmi","comm_server_o"
"code/modules/f13/wasteland_grid.dm","3029","/obj/structure/wasteland_grid/control_bus","icons/obj/machines/telecomms.dmi","comm_server_o"
"code/modules/f13/faction_territory.dm","227","/obj/machinery/f13/faction_resource_pad","icons/obj/machines/teleporter.dmi","tele-o"
"code/modules/f13/faction_territory.dm","557","/obj/structure/f13/faction_caravan_marker","icons/obj/storage.dmi","crate"
"code/modules/f13/wasteland_grid.dm","3914","/obj/structure/grid/relay_tower","icons/Relay_Tower.dmi",""
"code/modules/f13/player_factions.dm","1177","/obj/structure/faction_claim_marker","mojave/icons/structure/street_signs.dmi","warnings"
